q,epsilon,scale_index,log_inverse_epsilon,occupied_boxes,moment_sum,scale_value,used_in_fit
0.0,0.0025576326815254192,0,5.968673182099853,7300,7300.0,8.895629627136483,True
0.0,0.0033802203701808527,1,5.689814373334166,5249,5249.0,8.5657928612523,True
0.0,0.004467369311284743,2,5.410955564568481,3789,3789.0,8.239857411018601,True
0.0,0.005904167887829444,3,5.132096755802794,2706,2706.0,7.903226808730733,True
0.0,0.007803070670611615,4,4.853237947037108,1919,1919.0,7.5595594960077,True
0.0,0.010312699951515686,5,4.574379138271421,1374,1374.0,7.2254814727822945,True
0.0,0.013629478032352054,6,4.295520329505736,970,970.0,6.877296071497429,True
0.0,0.018013000698916416,7,4.016661520740049,693,693.0,6.541029999189903,True
0.0,0.023806355122989932,8,3.7378027119743633,494,494.0,6.202535517187923,True
0.0,0.031462972422801376,9,3.4589439032086773,351,351.0,5.860786223465865,True
0.0,0.04158211656357214,10,3.1800850944429913,244,244.0,5.497168225293202,True
0.0,0.05495578722414137,11,2.9012262856773052,170,170.0,5.135798437050262,True
0.0,0.07263070759776766,12,2.622367476911619,123,123.0,4.812184355372417,True
0.0,0.09599024875464056,13,2.3435086681459327,85,85.0,4.442651256490317,True
0.0,0.12686270257762117,14,2.0646498593802467,60,60.0,4.0943445622221,True
0.0,0.16766437751855415,15,1.7857910506145602,41,41.0,3.713572066704308,True
0.0,0.2215887169161027,16,1.5069322418488742,29,29.0,3.367295829986474,True
0.0,0.29285624168491625,17,1.2280734330831877,20,20.0,2.995732273553991,True
0.0,0.3870448797548027,18,0.9492146243175023,14,14.0,2.6390573296152584,True
0.0,0.5115265363050838,19,0.6703558155518166,11,11.0,2.3978952727983707,True
0.5,0.0025576326815254192,0,5.968673182099853,7300,79.0727555919691,8.740736771013628,True
0.5,0.0033802203701808527,1,5.689814373334166,5249,67.0939273649856,8.412187077230337,True
0.5,0.004467369311284743,2,5.410955564568481,3789,57.075338943593934,8.088744261926331,True
0.5,0.005904167887829444,3,5.132096755802794,2706,48.34295369752016,7.7566409519277775,True
0.5,0.007803070670611615,4,4.853237947037108,1919,40.769859979810064,7.41588616486515,True
0.5,0.010312699951515686,5,4.574379138271421,1374,34.341963904318035,7.072736087651666,True
0.5,0.013629478032352054,6,4.295520329505736,970,28.873032702499046,6.725816070011432,True
0.5,0.018013000698916416,7,4.016661520740049,693,24.203241663283347,6.372973154439944,True
0.5,0.023806355122989932,8,3.7378027119743633,494,20.50202887448387,6.041047701468448,True
0.5,0.031462972422801376,9,3.4589439032086773,351,17.278339422079313,5.698907320997754,True
0.5,0.04158211656357214,10,3.1800850944429913,244,14.398381718595973,5.334231639227437,True
0.5,0.05495578722414137,11,2.9012262856773052,170,12.064030140647148,4.980456619316595,True
0.5,0.07263070759776766,12,2.622367476911619,123,10.202731108283967,4.645310880328352,True
0.5,0.09599024875464056,13,2.3435086681459327,85,8.543926147898715,4.290441276884071,True
0.5,0.12686270257762117,14,2.0646498593802467,60,7.242456620098396,3.9599209220251135,True
0.5,0.16766437751855415,15,1.7857910506145602,41,6.030411530986505,3.5936305113435987,True
0.5,0.2215887169161027,16,1.5069322418488742,29,5.040688027559594,3.2350851723417033,True
0.5,0.29285624168491625,17,1.2280734330831877,20,4.177219578214632,2.8592917050704867,True
0.5,0.3870448797548027,18,0.9492146243175023,14,3.6010101764007727,2.562428821311479,True
0.5,0.5115265363050838,19,0.6703558155518166,11,3.0051963760258826,2.2006858312219952,True
1.0,0.0025576326815254192,0,5.968673182099853,7300,,8.593315685571062,True
1.0,0.0033802203701808527,1,5.689814373334166,5249,,8.268741636744569,True
1.0,0.004467369311284743,2,5.410955564568481,3789,,7.9499528584975305,True
1.0,0.005904167887829444,3,5.132096755802794,2706,,7.6240414500806,True
1.0,0.007803070670611615,4,4.853237947037108,1919,,7.287894075280735,True
1.0,0.010312699951515686,5,4.574379138271421,1374,,6.938782023256634,True
