centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
0,74,0.0008493291667092968,18,0.00018,-7.071063735710648,-8.622553707074063,knn
0,74,0.0011127991454347485,24,0.00024,-6.8008766852967915,-8.334871634622283,knn
0,74,0.0015338463100129046,33,0.00033,-6.479976770096157,-8.016417903503749,knn
0,74,0.0019074306599498102,44,0.00044,-6.261998146737782,-7.728735831051967,knn
0,74,0.0023941197698331813,60,0.0006,-6.034739643927689,-7.418580902748128,knn
0,74,0.0029777204780549356,82,0.00082,-5.8165972114309215,-7.106206217705975,knn
0,74,0.004758634868075309,111,0.00111,-5.347794444292773,-6.803395263657894,knn
0,74,0.0066688114687953656,151,0.00151,-5.010313625517836,-6.495645628155304,knn
0,74,0.007969333629104803,204,0.00204,-4.832154399574537,-6.194805471126012,knn
0,74,0.009432022976666269,277,0.00277,-4.663644679716715,-5.88890795878289,knn
0,74,0.010582616408294337,376,0.00376,-4.548542585554634,-5.583336321580334,knn
0,74,0.01242709947405433,510,0.0051,-4.387875749518688,-5.2785147392518565,knn
0,74,0.015259306172796812,691,0.00691,-4.182565721210807,-4.974785641202558,knn
0,74,0.020101726960137973,937,0.00937,-3.906949549193058,-4.670242182731807,knn
0,74,0.026990639481109812,1270,0.0127,-3.6122651589720745,-4.3661532855175915,knn
0,74,0.0328962981594559,1721,0.01721,-3.414395145491099,-4.062264668758689,knn
0,74,0.03963566668028386,2333,0.02333,-3.2280258923403755,-3.7580151929487986,knn
0,74,0.050847497057226715,3162,0.03162,-2.9789243797791185,-3.4539654472008112,knn
1,113,0.00032977997400297337,18,0.00018,-8.017084871322878,-8.622553707074063,knn
1,113,0.0005168244818723979,24,0.00024,-7.567807234573788,-8.334871634622283,knn
1,113,0.0007469528694039688,33,0.00033,-7.1995084679892924,-8.016417903503749,knn
1,113,0.000924236277627863,44,0.00044,-6.986542807292793,-7.728735831051967,knn
1,113,0.0012984216068161747,60,0.0006,-6.646605900793163,-7.418580902748128,knn
1,113,0.0017056839420770203,82,0.00082,-6.37378910963331,-7.106206217705975,knn
1,113,0.0018875280146171637,111,0.00111,-6.27248723476996,-6.803395263657894,knn
1,113,0.0022189969210389066,151,0.00151,-6.110700022577074,-6.495645628155304,knn
1,113,0.0027158655337563985,204,0.00204,-5.90864457943751,-6.194805471126012,knn
1,113,0.0034881843947656413,277,0.00277,-5.658373908860933,-5.88890795878289,knn
1,113,0.004494112648206662,376,0.00376,-5.404987039176533,-5.583336321580334,knn
1,113,0.00580938766301338,510,0.0051,-5.148280107301982,-5.2785147392518565,knn
1,113,0.007441033506247198,691,0.00691,-4.900745527654533,-4.974785641202558,knn
1,113,0.009208470370451739,937,0.00937,-4.6876315260640515,-4.670242182731807,knn
1,113,0.01099353614872897,1270,0.0127,-4.510447801744555,-4.3661532855175915,knn
1,113,0.01409720578231483,1721,0.01721,-4.261778672703607,-4.062264668758689,knn
1,113,0.022397468321312803,2333,0.02333,-3.7988073478785034,-3.7580151929487986,knn
1,113,0.036250977648888155,3162,0.03162,-3.317288928420626,-3.4539654472008112,knn
2,121,0.001100019918286347,18,0.00018,-6.812426991808709,-8.622553707074063,knn
2,121,0.0015452395004714743,24,0.00024,-6.472576364159851,-8.334871634622283,knn
2,121,0.0018491925436339468,33,0.00033,-6.293006198070129,-8.016417903503749,knn
2,121,0.0024530360648819353,44,0.00044,-6.010428811456776,-7.728735831051967,knn
2,121,0.003301851162391753,60,0.0006,-5.713272009487464,-7.418580902748128,knn
2,121,0.0043208545225937285,82,0.00082,-5.44430209013122,-7.106206217705975,knn
2,121,0.005785682532349186,111,0.00111,-5.15236894217596,-6.803395263657894,knn
2,121,0.008108200867226264,151,0.00151,-4.814879276744361,-6.495645628155304,knn
2,121,0.01128640475583555,204,0.00204,-4.484156396545083,-6.194805471126012,knn
2,121,0.01530170059877152,277,0.00277,-4.179791306513974,-5.88890795878289,knn
2,121,0.01622125678410029,376,0.00376,-4.121432749689894,-5.583336321580334,knn
2,121,0.017153207266050043,510,0.0051,-4.065570110257194,-5.2785147392518565,knn
2,121,0.01905267247075804,691,0.00691,-3.9605479000698534,-4.974785641202558,knn
2,121,0.02259730767997148,937,0.00937,-3.789924509005146,-4.670242182731807,knn
2,121,0.028361578865060678,1270,0.0127,-3.5627199066160657,-4.3661532855175915,knn
2,121,0.03664946246366079,1721,0.01721,-3.3063565175057166,-4.062264668758689,knn
2,121,0.04778693260693795,2333,0.02333,-3.041003053282765,-3.7580151929487986,knn
2,121,0.05996578279472654,3162,0.03162,-2.813981166189936,-3.4539654472008112,knn
3,293,0.0015146527986749142,18,0.00018,-6.492569042077725,-8.622553707074063,knn
3,293,0.0019153009366002355,24,0.00024,-6.257880521646101,-8.334871634622283,knn
3,293,0.0029220361120036744,33,0.00033,-5.835474607070286,-8.016417903503749,knn
3,293,0.00429344809814121,44,0.00044,-5.450665116397793,-7.728735831051967,knn
3,293,0.005799933947029191,60,0.0006,-5.149908749937855,-7.418580902748128,knn
3,293,0.007355108479762158,82,0.00082,-4.912360175919603,-7.106206217705975,knn
3,293,0.009507466994427415,111,0.00111,-4.655677789698002,-6.803395263657894,knn
3,293,0.01332837303399085,151,0.00151,-4.317860205204516,-6.495645628155304,knn
3,293,0.01828400175618578,204,0.00204,-4.001728822462229,-6.194805471126012,knn
3,293,0.023726972404197404,277,0.00277,-3.7411428018322805,-5.88890795878289,knn
