centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
0,12,-0.5251726103602311,0.322492615481774,1.056031972126451,-0.5138131178058638,0.9982747745171643,18,15,1947,knn,0.0008419113856289988,0.0864834436532222,0.0003,0.03894
1,14,-0.385039911240368,0.28090915096204894,1.2757984717789674,-0.34254028018992505,0.9837168614440339,18,15,1947,knn,0.0020980188326762284,0.09247099840870904,0.0003,0.03894
2,210,1.055749681879589,-0.12090590264603408,1.3109354872132934,-0.0018330345762765032,0.9862685433751927,18,15,1947,knn,0.0016889580000688405,0.09359876627023954,0.0003,0.03894
3,319,-0.17663502677678972,0.2891655182594646,1.0235064649707843,-1.2747621926888257,0.992150629936935,18,15,1947,knn,0.0012340598769375955,0.1263407590417323,0.0003,0.03894
4,498,0.37899136364584796,-0.13399541055646957,1.1889761853977,-0.975763493960061,0.994018304831968,18,15,1947,knn,0.0024918471502333463,0.1390659513421008,0.0003,0.03894
5,640,-1.1454231343550334,0.36924590249212336,0.7876256632553104,-1.465145647263332,0.9961183040619218,18,15,1947,knn,0.00025410532339050596,0.09407509366181951,0.0003,0.03894
6,946,1.0689968464975328,0.09409985465455685,1.1474458658330713,0.6052559299544413,0.9896002145455811,18,15,1947,knn,0.000509796797178854,0.048395033167518656,0.0003,0.03894
7,1016,-0.567371540099461,0.32665681092494486,1.2103953235414107,-0.5250803217943932,0.9609447124218369,18,15,1947,knn,0.001557301014923627,0.0947825828857215,0.0003,0.03894
8,1091,0.3949503575178538,0.22311842187785633,1.5352395507414827,0.9545212454726696,0.9896727440719066,18,15,1947,knn,0.002698502571095666,0.060269395174870684,0.0003,0.03894
9,1134,-0.35744305403857074,0.30746230963449217,1.1760773398673339,-0.5693050050461096,0.9898531199769676,18,15,1947,knn,0.0017763113906195495,0.09642643712058864,0.0003,0.03894
10,1210,0.09206273345798913,0.2605081287712013,1.2041510961067803,-0.7239979835713483,0.9938811171099138,18,15,1947,knn,0.002189930857200405,0.11809047875793618,0.0003,0.03894
11,1526,-1.0363631556951973,0.36584416796528296,1.2207664698547922,-0.22442842306296587,0.9904977513865514,18,15,1947,knn,0.001434526673631812,0.09625417986689748,0.0003,0.03894
12,1529,0.3441887839516841,0.198749241254926,1.5036947835302032,1.1999516958052976,0.9850260040857738,18,15,1947,knn,0.0018316601957441764,0.04263646603463102,0.0003,0.03894
13,1606,0.5970144447137008,0.17923340232549315,1.4640267524472697,0.5643486530688306,0.9893547346133827,18,15,1947,knn,0.0020672022799475107,0.07415255858323838,0.0003,0.03894
